iter	Passed	Remaining
0	103	103588
1	192	96069
2	285	94989
3	378	94300
4	472	94085
5	571	94645
6	667	94656
7	759	94170
8	850	93680
9	940	93080
10	1014	91237
11	1098	90473
12	1179	89514
13	1255	88434
14	1339	87961
15	1421	87436
16	1495	86492
17	1581	86271
18	1664	85930
19	1753	85944
20	1847	86137
21	1945	86503
22	2027	86124
23	2109	85769
24	2203	85936
25	2302	86236
26	2390	86149
27	2471	85807
28	2566	85945
29	2656	85903
30	2747	85882
31	2843	86004
32	2936	86046
33	3033	86173
34	3135	86461
35	3225	86376
36	3318	86362
37	3411	86359
38	3501	86280
39	3612	86706
40	3702	86602
41	3795	86572
42	3881	86383
43	3965	86159
44	4048	85917
45	4132	85701
46	4216	85487
47	4299	85275
48	4387	85153
49	4540	86263
50	4730	88029
51	4851	88451
52	4947	88400
53	5045	88394
54	5169	88824
55	5355	90278
56	5521	91342
57	5697	92532
58	5852	93343
59	6047	94736
60	6202	95481
61	6350	96081
62	6476	96318
63	6633	97010
64	6764	97310
65	6845	96880
66	6933	96545
67	7001	95960
68	7091	95683
69	7201	95674
70	7323	95823
71	7465	96215
72	7598	96486
73	7688	96208
74	7826	96523
75	7938	96520
76	8123	97375
77	8303	98148
78	8469	98738
79	8630	99255
80	8851	100428
81	9210	103110
82	9456	104471
83	9700	105786
84	9877	106331
85	10120	107558
86	10389	109029
87	10573	109580
88	10672	109241
89	10750	108695
90	10829	108179
91	10906	107646
92	10985	107141
93	11072	106717
94	11149	106212
95	11230	105750
96	11308	105270
97	11388	104816
98	11457	104278
99	11537	103835
100	11607	103321
101	11686	102889
102	11761	102430
103	11847	102067
104	11935	101739
105	12014	101328
106	12097	100962
107	12184	100635
108	12258	100205
109	12333	99791
110	12404	99347
111	12472	98888
112	12542	98449
113	12615	98047
114	12704	97772
115	12780	97394
116	12858	97046
117	12950	96797
118	13043	96567
119	13124	96243
120	13218	96022
121	13307	95768
122	13396	95520
123	13472	95176
124	13547	94832
125	13632	94559
126	13719	94309
127	13802	94029
128	13888	93774
129	13964	93455
130	14060	93273
131	14154	93076
132	14242	92844
133	14327	92594
134	14406	92308
135	14486	92033
136	14576	91819
137	14656	91547
138	14737	91287
139	14835	91129
140	14916	90874
141	14999	90633
142	15088	90427
143	15173	90197
144	15243	89886
145	15318	89603
146	15390	89305
147	15471	89063
148	15561	88879
149	15643	88645
150	15722	88401
151	15822	88272
152	15911	88087
153	16010	87955
154	16095	87746
155	16170	87483
156	16250	87256
157	16318	86964
158	16398	86734
159	16481	86529
160	16565	86327
161	16644	86099
162	16726	85891
163	16809	85686
164	16882	85438
165	16961	85216
166	17046	85030
167	17130	84836
168	17220	84676
169	17300	84467
170	17372	84222
171	17454	84024
172	17529	83797
173	17600	83552
174	17670	83305
175	17755	83126
176	17833	82918
177	17910	82710
178	18005	82582
179	18088	82405
180	18175	82240
181	18254	82046
182	18336	81861
